Time, Head Rotation, Left Pupil Size, Left Pupil Position X, Left Pupil Position Y, Right Pupil Size, Right Pupil Position X, Right Pupil Position Y
0,6.75982,0,INVALID,INVALID,0,INVALID, INVALID
24.27175,0.01107181,3.70192,0.004607081,0.09921324,3.824951,-0.2133238, 0.1186562
24.28242,0.1406637,3.736221,0.002483964,0.09895509,3.822937,-0.2133238, 0.1190802
24.29361,0.2459462,3.737411,0.002483964,0.09895509,3.788498,-0.2137519, 0.1179627
24.31549,0.3064238,3.74678,0.002154946,0.0987854,3.814438,-0.2140834, 0.1183866
24.32136,0.405714,3.74678,0.002154946,0.0987854,3.814438,-0.2140834, 0.1183866
24.32622,0.4741051,3.907578,-0.0018453,0.09449488,3.814209,-0.2149007, 0.1183866
24.33746,0.5201848,3.929077,-0.002512038,0.09934664,3.796951,-0.215319, 0.1179627
24.34796,0.5576337,3.81662,-0.004444897,0.09696609,3.78331,-0.2157373, 0.1183866
24.35896,0.5851634,3.882553,-0.004444897,0.09759784,3.789276,-0.2165377, 0.1175388
24.37081,0.5867458,3.880707,-0.005172014,0.09728193,3.796249,-0.2170708, 0.1183866
24.38145,0.5757159,3.881851,-0.005899191,0.09696609,3.789429,-0.2179532, 0.1185283
24.39248,0.6085289,3.848358,-0.005072773,0.09696609,3.783722,-0.2189303, 0.1173671
24.40396,0.629187,3.821777,-0.005067587,0.09728193,3.788513,-0.2191618, 0.1173671
24.41482,0.6698227,3.821854,-0.005072773,0.09759784,3.788589,-0.2202426, 0.1173671
24.42599,0.6837896,3.820648,-0.005899191,0.09759784,3.791779,-0.2205478, 0.1181507
24.43725,0.7250341,3.823776,-0.006265283,0.09825331,3.792282,-0.2210797, 0.1181507
24.44852,0.7730526,3.814453,-0.006631374,0.09809613,3.794739,-0.2220766, 0.1191276
24.46838,0.8569699,3.814453,-0.006631374,0.09809613,3.794739,-0.2220766, 0.1191276
24.47447,0.915372,3.818848,-0.006891012,0.09890884,3.794861,-0.2218916, 0.1185283
24.48131,0.9750578,3.810852,-0.007683098,0.09898967,3.779648,-0.2220766, 0.1186147
24.49245,1.018679,3.806595,-0.007683098,0.09898967,3.778381,-0.2222325, 0.1186147
24.50393,1.08208,3.79631,-0.007949352,0.1002232,3.781937,-0.2222325, 0.1186147
24.51472,1.211871,3.803314,-0.00880599,0.1002232,3.802032,-0.2222325, 0.1191276
24.52609,1.274812,3.806458,-0.009572148,0.1002232,3.786606,-0.2229123, 0.1186147
24.53709,1.400225,3.8022,-0.009572148,0.1002405,3.785355,-0.222913, 0.1182154
24.54816,1.488226,3.806274,-0.009883344,0.1002405,3.785507,-0.2233644, 0.1186147
24.55893,1.566622,3.794495,-0.009999871,0.1002405,3.760452,-0.2237697, 0.1182154
24.57059,1.646622,3.801865,-0.01029974,0.1006985,3.760147,-0.2250839, 0.1182154
24.5815,1.75577,3.808609,-0.0111165,0.1008798,3.75827,-0.2259147, 0.1182154
24.59223,1.831047,3.800217,-0.01120895,0.1008798,3.759109,-0.2260852, 0.1186147
24.60443,1.901537,3.806396,-0.01220536,0.1009309,3.718979,-0.2337451, 0.1151444
24.62347,1.972747,3.821014,-0.01242965,0.1013505,3.615417,-0.233466, 0.1183523
24.62938,1.999614,3.869751,-0.01370054,0.1027421,3.740509,-0.2330978, 0.1123952
24.63706,2.003977,3.801514,-0.01382065,0.1019775,3.603149,-0.2363895, 0.1188946
24.6479,1.978603,3.996368,-0.01775503,0.1128105,3.722885,-0.2379268, 0.1204183
24.65929,1.945426,3.931412,-0.01918894,0.1056706,3.690674,-0.2396448, 0.1193218
24.67031,1.916086,3.866165,-0.01850218,0.1035529,3.727737,-0.2365712, 0.1168915
24.68157,1.856367,3.86618,-0.01873749,0.1035529,3.730957,-0.2372671, 0.1191066
