Time, Head Rotation, Left Pupil Size, Left Pupil Position X, Left Pupil Position Y, Right Pupil Size, Right Pupil Position X, Right Pupil Position Y, Direction X, Direction Y
2.292011,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.302723,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.314226,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.324921,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.336593,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.347325,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.35846,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.369455,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.380994,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.391519,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.402954,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.414271,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.425005,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.436111,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.446961,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.458417,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.469779,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.480209,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.492052,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.503105,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.513641,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.525301,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.536546,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.547396,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.5584,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.570147,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.58065,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.591387,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.602753,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.613934,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.62528,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.636219,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.647105,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.658532,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.669402,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.680582,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.691635,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.702659,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.713561,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.725115,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.735708,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.746721,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.758281,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.769502,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.780482,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.791469,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.802651,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.813624,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.82478,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.836087,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.847169,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.85778,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.869427,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.880952,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.891386,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.902329,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.913637,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.925193,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.941206,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.951047,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.959818,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.968764,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.97637,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.986683,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
2.997768,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.008839,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.020141,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.0317,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.042532,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.053402,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.064674,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.075672,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.08685,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.097825,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.108779,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.119774,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.13106,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.142326,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.193446,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.236499,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.262459,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.282678,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.299969,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.321477,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.343625,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.365567,0,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.387016,-4.160492,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.408363,135.6884,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.430712,-2.518005,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.453029,-2.317871,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.475164,-2.094391,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.49737,-1.934235,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.519608,-1.823181,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.541675,-1.804596,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.564205,-1.820435,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.58617,-1.769623,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.608383,-1.724609,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.630789,-1.74823,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.653891,-1.743164,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.675128,-1.746307,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.697243,-1.748901,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.719737,-1.799011,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.741639,-1.822876,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.763811,-1.810486,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.786051,-1.773468,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.808801,-1.759186,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.830457,-1.743317,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.841374,-1.683716,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.852778,-1.659851,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.864019,-1.631805,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.874703,-1.593353,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.886216,-1.569794,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.897093,-1.513794,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.908236,-1.456573,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.919393,-1.412537,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.930349,-1.353607,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.941348,-1.302399,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.952492,-1.266724,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.964002,-1.194336,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.974673,-1.153595,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.986253,-1.122467,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
3.997044,-1.09549,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.008161,-1.083679,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.019312,-1.040588,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.030058,-1.032288,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.041466,-1.014465,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.052468,-1.028503,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.063721,-1.034637,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.075645,-1.050812,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.086156,-1.064026,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.09682,-1.045013,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.108034,-1.006897,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.11939,-0.9233398,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.130252,-0.8638,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.141366,-0.8360291,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.152585,-0.7289734,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.164072,-0.5823059,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.174746,-0.411499,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.185775,-0.1486206,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.198295,0.08193351,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.211721,0.1827797,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.222119,0.3445788,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.236115,0.5052704,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
