Time, Head Rotation, Left Pupil Size, Left Pupil Position X, Left Pupil Position Y, Right Pupil Size, Right Pupil Position X, Right Pupil Position Y, Direction X, Direction Y
0,-10.51456,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.02,-10.51459,0,INVALID,INVALID,0,0.8783914, 0.4348804,INVALID,INVALID
0.04,-10.47989,2.431274,0.04424357,-0.0003077984,2.016556,-0.2637808, -0.01230574,INVALID,INVALID
0.3733333,-1.338684,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.4221294,-0.1409607,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.4368736,-0.119873,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.009757,0.4335431,3.607773,0.1407329,-0.007114172,3.508865,-0.1912065, 0.009380937,3.254016,-3.698088
1.02071,0.4879389,3.716751,0.1408921,-0.008220196,3.523956,-0.1912065, 0.007354677,3.532525,-3.759423
1.032157,0.5442085,3.702896,0.1442904,-0.01015604,3.520889,-0.1909184, 0.005972624,3.901388,-3.932932
1.043199,0.6032035,3.728577,0.1407938,-0.009292364,3.519058,-0.1912065, 0.006204903,3.504478,-3.677913
1.054343,0.6391504,3.723328,0.1403434,-0.008507729,3.472641,-0.1893669, 0.004641116,3.528199,-3.22519
1.065492,0.6736392,3.712997,0.1434836,-0.01181042,3.470627,-0.1886496, 0.003944159,4.06876,-3.649963
1.076399,0.6817355,3.716187,0.1406813,-0.01141191,3.474304,-0.1893669, 0.003247201,3.657787,-3.609614
1.087554,0.7014317,3.551514,0.124238,-0.01114976,3.535873,-0.2055926, 0.00935328,1.40249,-4.038954
1.098695,0.7246047,3.462204,0.1102751,-0.00379169,3.451889,-0.2160222, 0.008226693,-0.08156469,-3.882974
1.10976,0.7566077,3.533157,0.1060359,-0.0008189678,3.481064,-0.2203317, 0.01324141,-0.5595313,-3.231255
1.120999,0.7982225,3.500595,0.1060704,-0.001053333,3.537598,-0.2223408, 0.009621799,-0.892629,-3.640294
1.131879,0.8574955,3.531525,0.105455,-0.006596684,3.497726,-0.2214546, 0.01111525,-0.7613045,-3.497488
1.143012,0.9207006,3.494324,0.1053052,-0.006811976,3.502167,-0.2214546, 0.01031542,-0.7449358,-3.732293
1.155845,0.9718913,3.397873,0.1085576,-0.0009965897,3.505264,-0.2213333, 0.01065201,-0.6504185,-3.607932
1.166961,1.031921,3.48967,0.103844,0.006286919,3.508453,-0.2212121, 0.01098853,-0.7947544,-3.302212
1.178711,1.089189,3.55011,0.1096747,-0.003587365,3.470428,-0.2209604, 0.015643,-0.2873554,-3.637604
1.190014,1.151504,3.503677,0.1051917,0.003342867,3.483231,-0.2210404, 0.0161618,-0.5885065,-3.159449
1.201431,1.202854,3.468689,0.1051041,0.005931795,3.479004,-0.2210404, 0.01604056,-0.7954926,-3.283722
1.213152,1.280628,3.50853,0.1065457,0.009845197,3.469833,-0.2211204, 0.01643813,-0.8096339,-3.085086
1.224007,1.341438,3.489838,0.1071907,0.01049531,3.476303,-0.2210404, 0.01619112,-0.842791,-3.233011
1.235466,1.40812,3.468765,0.10683,0.009657145,3.461533,-0.2208804, 0.01579356,-0.7815963,-3.29515
1.24688,1.460452,3.475708,0.1071143,0.009469151,3.465622,-0.2208005, 0.01594406,-0.7815963,-3.251428
