Time, Background Direction, Background Speed, SVH: From30, SVH: Current, Pupil Size
0,Clockwise,10,30,31.75126,3.166878
0,Clockwise,10,30,31.80957,3.122581
0,Clockwise,10,30,31.86032,3.161263
0,Clockwise,10,30,31.91602,3.191139
0,Clockwise,10,30,31.96992,3.188629
0,Clockwise,10,30,32.02699,3.218613
0,Clockwise,10,30,32.08247,3.236824
0,Clockwise,10,30,32.1354,3.22757
0,Clockwise,10,30,32.19474,3.176765
0,Clockwise,10,30,32.24945,3.177315
0,Clockwise,10,30,32.30191,3.176895
0,Clockwise,10,30,32.36054,3.183662
0,Clockwise,10,30,32.4145,3.185188
0,Clockwise,10,30,32.46967,3.185524
0,Clockwise,10,30,32.55482,3.213821
0,Clockwise,10,30,32.60167,3.228729
0,Clockwise,10,30,32.64596,3.233841
0,Clockwise,10,30,32.72121,3.230446
0,Clockwise,10,30,32.76403,3.234322
0,Clockwise,10,30,32.81563,3.239342
0,Clockwise,10,30,32.88661,3.236458
0,Clockwise,10,30,32.93063,3.236397
0,Clockwise,10,30,32.97459,3.237518
0,Clockwise,10,30,33.06388,3.235901
0,Clockwise,10,30,33.10868,3.235725
0,Clockwise,10,30,33.16075,3.226105
0,Clockwise,10,30,33.23513,3.222092
0,Clockwise,10,30,33.2761,3.221245
0,Clockwise,10,30,33.3208,3.223785
0,Clockwise,10,30,33.39734,3.15683
0,Clockwise,10,30,33.44033,3.2808
0,Clockwise,10,30,33.48406,3.206421
0,Clockwise,10,30,33.35361,3.146713
0,Clockwise,10,30,33.29685,3.117805
0,Clockwise,10,30,33.25172,3.147095
0,Clockwise,10,30,33.20714,3.137154
0,Clockwise,10,30,33.16496,3.146217
0,Clockwise,10,30,33.10061,3.131317
0,Clockwise,10,30,33.04971,3.121643
0,Clockwise,10,30,32.99776,3.114014
0,Clockwise,10,30,32.94131,3.102455
0,Clockwise,10,30,32.8828,3.112038
0,Clockwise,10,30,32.83087,3.110924
0,Clockwise,10,30,32.77542,3.124855
0,Clockwise,10,30,32.71862,3.151199
0,Clockwise,10,30,32.6655,3.154182
0,Clockwise,10,30,32.60674,3.133476
0,Clockwise,10,30,32.55014,3.132744
0,Clockwise,10,30,32.49752,3.134972
0,Clockwise,10,30,32.44412,3.135376
0,Clockwise,10,30,32.38171,3.140465
0,Clockwise,10,30,32.33095,3.143677
0,Clockwise,10,30,32.27343,3.152672
0,Clockwise,10,30,32.21672,3.145844
0,Clockwise,10,30,32.16475,3.154381
0,Clockwise,10,30,32.09882,3.154564
0,Clockwise,10,30,32.05442,3.157997
0,Clockwise,10,30,31.99687,3.160057
0,Clockwise,10,30,31.94164,3.162445
0,Clockwise,10,30,31.85244,3.1633
0,Clockwise,10,30,31.80312,3.164993
0,Clockwise,10,30,31.75572,3.165039
0,Clockwise,10,30,31.70944,3.167496
0,Clockwise,10,30,31.66545,3.156113
0,Clockwise,10,30,31.60947,3.176323
0,Clockwise,10,30,31.55265,3.167107
0,Clockwise,10,30,31.49963,3.153168
0,Clockwise,10,30,31.44308,3.159355
0,Clockwise,10,30,31.3859,3.158142
0,Clockwise,10,30,31.33053,3.160454
0,Clockwise,10,30,31.27438,3.156731
0,Clockwise,10,30,31.21948,3.16185
0,Clockwise,10,30,31.16729,3.154228
0,Clockwise,10,30,31.10977,3.164268
0,Clockwise,10,30,31.04622,3.164459
0,Clockwise,10,30,31.00043,3.164825
0,Clockwise,10,30,30.94514,3.16272
0,Clockwise,10,30,30.85281,3.182846
0,Clockwise,10,30,30.80437,3.180122
0,Clockwise,10,30,30.76248,3.182228
0,Clockwise,10,30,30.6903,3.186783
0,Clockwise,10,30,30.64751,3.192276
0,Clockwise,10,30,30.60078,3.191719
