Time, Background Direction, Background Speed, SVV: From30, SVV: Current, Pupil Size
0,Clockwise,10,30,25.81439,1.914101
0,Clockwise,10,30,25.81439,1.897652
0,Clockwise,10,30,25.81439,2.908836
0,Clockwise,10,30,25.81439,3.04641
0,Clockwise,10,30,25.81439,4.768761
0,Clockwise,10,30,25.81439,4.262077
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,0
0,Clockwise,10,30,25.81439,1.552795
0,Clockwise,10,30,25.81439,1.972595
0,Clockwise,10,30,25.81439,2.855591
0,Clockwise,10,30,25.81439,3.43177
0,Clockwise,10,30,25.81439,2.98307
0,Clockwise,10,30,25.81439,4.10125
0,Clockwise,10,30,25.72591,3.709702
0,Clockwise,10,30,25.59923,3.872734
0,Clockwise,10,30,25.53713,3.49482
0,Clockwise,10,30,25.48237,3.97393
0,Clockwise,10,30,25.42898,4.136284
0,Clockwise,10,30,25.37083,4.220299
0,Clockwise,10,30,25.3152,4.32605
0,Clockwise,10,30,25.26154,3.86013
0,Clockwise,10,30,25.20413,4.096939
0,Clockwise,10,30,25.15162,4.415634
0,Clockwise,10,30,25.09441,4.347176
0,Clockwise,10,30,25.03907,4.335381
0,Clockwise,10,30,24.9851,4.400269
0,Clockwise,10,30,24.92752,4.404427
0,Clockwise,10,30,24.80024,4.320778
0,Clockwise,10,30,24.74508,4.214714
0,Clockwise,10,30,24.69151,4.360085
0,Clockwise,10,30,24.63709,4.167381
0,Clockwise,10,30,24.59097,4.221664
0,Clockwise,10,30,24.53643,4.281113
0,Clockwise,10,30,24.48312,4.408737
0,Clockwise,10,30,24.42923,4.329689
0,Clockwise,10,30,24.3693,4.387596
0,Clockwise,10,30,24.31714,4.356041
0,Clockwise,10,30,24.26124,4.62796
0,Clockwise,10,30,24.20396,4.658234
0,Clockwise,10,30,24.14903,4.604179
0,Clockwise,10,30,24.02906,4.662292
0,Clockwise,10,30,23.97215,4.63414
0,Clockwise,10,30,23.92328,4.550606
0,Clockwise,10,30,23.86756,4.452843
0,Clockwise,10,30,23.81594,4.372513
0,Clockwise,10,30,23.76258,4.381485
0,Clockwise,10,30,23.70431,4.373123
0,Clockwise,10,30,23.65031,4.355087
0,Clockwise,10,30,23.59373,4.353424
0,Clockwise,10,30,23.53255,4.312241
0,Clockwise,10,30,23.48242,4.346321
0,Clockwise,10,30,23.42784,4.345596
0,Clockwise,10,30,23.36945,4.289467
0,Clockwise,10,30,23.21763,4.583801
0,Clockwise,10,30,23.16489,4.512993
0,Clockwise,10,30,23.12105,4.529602
0,Clockwise,10,30,23.03417,4.572189
0,Clockwise,10,30,22.98384,4.573059
0,Clockwise,10,30,22.88576,4.598587
0,Clockwise,10,30,22.83692,4.602654
0,Clockwise,10,30,22.7545,4.453323
0,Clockwise,10,30,22.70128,4.604118
0,Clockwise,10,30,22.65067,4.606812
0,Clockwise,10,30,22.56135,4.602219
0,Clockwise,10,30,22.41105,4.606354
0,Clockwise,10,30,22.35997,4.613411
0,Clockwise,10,30,22.31027,4.526077
0,Clockwise,10,30,22.22697,4.658852
0,Clockwise,10,30,22.17787,4.523529
0,Clockwise,10,30,22.092,4.563248
0,Clockwise,10,30,22.03772,4.682671
0,Clockwise,10,30,21.98529,4.567909
0,Clockwise,10,30,21.89581,3.724678
0,Clockwise,10,30,21.84727,4.246834
0,Clockwise,10,30,21.76248,3.959793
0,Clockwise,10,30,21.65217,4.156693
0,Clockwise,10,30,21.56334,4.129051
0,Clockwise,10,30,21.51468,4.225967
0,Clockwise,10,30,21.41799,4.207787
0,Clockwise,10,30,21.3602,4.28344
0,Clockwise,10,30,21.31277,4.283165
0,Clockwise,10,30,21.23178,4.133141
0,Clockwise,10,30,21.18099,4.309494
0,Clockwise,10,30,21.09689,4.196297
0,Clockwise,10,30,21.04558,4.074036
0,Clockwise,10,30,20.98393,4.09053
0,Clockwise,10,30,20.84765,4.104195
0,Clockwise,10,30,20.76203,4.035141
0,Clockwise,10,30,20.7086,4.374069
0,Clockwise,10,30,20.65182,4.038147
0,Clockwise,10,30,20.56161,4.081139
0,Clockwise,10,30,20.5057,4.322411
0,Clockwise,10,30,20.41087,4.340965
0,Clockwise,10,30,20.35552,4.380066
0,Clockwise,10,30,20.27241,3.695824
0,Clockwise,10,30,20.22535,3.851288
0,Clockwise,10,30,20.09149,3.960281
